tiempo_s,voltaje_mV
0.000,0.05
0.004,0.08
0.008,0.12
0.012,0.18
0.016,0.25
0.020,0.30
0.024,0.28
0.028,0.20
0.032,0.10
0.036,0.00
0.040,-0.10
0.044,-0.20
0.048,-0.35
0.052,-0.25
0.056,0.00
0.060,0.60
0.064,0.95
0.068,1.00
0.072,0.80
0.076,0.35
0.080,0.10
0.084,0.05
0.088,0.10
0.092,0.15
0.096,0.20
0.100,0.25
0.104,0.22
0.108,0.15
0.112,0.10
0.116,0.05
0.120,0.00
0.124,-0.05
0.128,-0.08
0.132,-0.10
0.136,-0.05
0.140,0.08
0.144,0.20
0.148,0.30
0.152,0.35
0.156,0.28
0.160,0.18
0.164,0.10
0.168,0.05
0.172,0.00
0.176,-0.02
0.180,-0.05
0.184,-0.08
0.188,-0.05
0.192,0.02
0.196,0.08
0.200,0.00
